"Pression_anthro2";"nb_poissons";"nb_stations";"concentration_mercure_min";"concentration_mercure_max";"concentration_mercure_moyenne";"ecart_type_concentration_mercure";"erreur_type_concentration_mercure";"concentration_mercure_mediane";"moustache_superieure";"moustache_inferieure";"premier_quartile";"troisieme_quartile"
"Reference_Trois_Sauts";25;2;0.191523;1.645525;0.49122972;0.355807680041658;0.0711615360083315;0.324167;0.89109;0.191523;0.2668;0.516516
"Reference";173;8;0.0909;2.5856;0.764739306358381;0.478370622637934;0.0363698449540644;0.6666;1.66145;0.0909;0.44945;0.93425
"Agriculture";58;3;0.159075;1.7372;0.585408189655172;0.366066124952111;0.0480668370582432;0.49995;1.3395125;0.159075;0.34845;0.744875
"Deforestation";62;4;0.1818;3.0401;0.860210483870968;0.59525766504777;0.0755977990589036;0.73225;1.6298875;0.1818;0.512575;0.9595
"Piste";210;11;0.1515;4.56015;0.919015833333333;0.710709010233565;0.0490435810676476;0.729725;2.27313125;0.1515;0.4330375;1.169075
"Orpaillage_ancien";156;11;0.144032329;5.854503;0.950019073108974;0.875030857072853;0.0700585378327795;0.7133795;2.005269923;0.144032329;0.447486718;1.0706
"Orpaillage_illegal";124;6;0;4.546005726;1.43087476684677;1.11520304339621;0.100148189715178;0.991469334;4.403015435875;0;0.57779614775;2.107883863
"Barrage";55;4;0.12625;7.24675;1.20961272727273;1.09200894643509;0.147246456299034;0.9191;2.3570875;0.12625;0.633775;1.3231
NA;28;2;0.39895;4.09555;1.31318035714286;1.10580478664814;0.208977461718273;0.891325;1.9808625;0.39895;0.674175;1.19685
