"Groupe_station";"nb_poissons";"concentration_mercure_min";"concentration_mercure_max";"concentration_mercure_moyenne";"ecart_type_concentration_mercure";"erreur_type_concentration_mercure";"concentration_mercure_mediane";"moustache_superieure";"moustache_inferieure";"premier_quartile";"troisieme_quartile"
"Chien_conta";271;0.060943;6.342882;1.1932714797048;0.982218950865218;0.059665552110327;0.847769;3.09499275;0.060943;0.516934;1.5481575
"Chien_non_conta";141;0.155172;5.854503;0.867715553191489;0.769579377420145;0.0648102751107551;0.69693;1.654685;0.155172;0.459475;0.937559
"NF_conta";87;0;6.760911809;1.76972043349425;1.40382138686463;0.150505450553095;1.263939869;4.7072371195;0;0.754219842;2.335426753
"NF_non_conta";222;0;5.923109575;0.729058312112613;0.669809853735927;0.0449546939176887;0.547930127;1.598518629625;0;0.35826581025;0.854366938
"Trois_Sauts";142;0.011281;1.645525;0.411226661971831;0.246256650801439;0.0206653990709145;0.337876;0.843667125;0.011281;0.26414275;0.4959525
