"Pression_anthro2";"nb_poissons";"nb_stations";"concentration_mercure_min";"concentration_mercure_max";"concentration_mercure_moyenne";"ecart_type_concentration_mercure";"erreur_type_concentration_mercure";"concentration_mercure_mediane";"moustache_superieure";"moustache_inferieure";"premier_quartile";"troisieme_quartile"
"Reference_Trois_Sauts";13;2;0.271047;1.505888;0.560050923076923;0.317850785049228;0.0881559464185748;0.49881;0.884941;0.271047;0.384451;0.584647
"Reference";72;7;0.3737;3.8784;1.10254826388889;0.649893988867653;0.0765907410967821;1.007475;2.10269375;0.3737;0.6602875;1.23725
"Agriculture";14;3;0.23735;4.76215;1.10937678571429;1.2018321018371;0.321203140107203;0.704475;2.47134375;0.23735;0.3471875;1.19685
"Deforestation";23;4;0.29795;2.02;0.596997826086957;0.398601044414958;0.0831140632187231;0.4444;0.8016875;0.29795;0.391375;0.5555
"Piste";54;11;0.18685;3.3835;1.25501851851852;0.748598279698514;0.101871322643702;1.088275;2.7838125;0.18685;0.7133125;1.5415125
"Orpaillage_ancien";60;11;0;5.923109575;1.42292361331667;1.19418638783091;0.154168799744557;1.088275;3.547055273125;0;0.669125;1.82029710925
"Orpaillage_illegal";18;5;0.514876;6.760911809;2.47270150427778;2.08669699919808;0.491839199471527;1.4019305;7.642189488125;0.514876;0.94708;3.62512379525
"Barrage";9;3;0.9393;2.2725;1.63002777777778;0.440406456519934;0.146802152173311;1.52005;2.44925;0.9393;1.515;1.8887
NA;9;1;0.606;2.3533;1.00102222222222;0.544889955696969;0.181629985232323;0.7171;1.53015;0.606;0.6969;1.0302
