"Pression_anthro2";"nb_poissons";"nb_stations";"concentration_mercure_min";"concentration_mercure_max";"concentration_mercure_moyenne";"ecart_type_concentration_mercure";"erreur_type_concentration_mercure";"concentration_mercure_mediane";"moustache_superieure";"moustache_inferieure";"premier_quartile";"troisieme_quartile"
"Reference_Trois_Sauts";142;2;0.011281;1.645525;0.411226661971831;0.246256650801439;0.0206653990709145;0.337876;0.843667125;0.011281;0.26414275;0.4959525
"Reference";530;9;0.0909;3.8784;0.796389764150943;0.502313195088023;0.0218190909119868;0.6666;1.78454375;0.0909;0.44945;0.9834875
"Agriculture";119;3;0.159075;4.76215;0.686396848739496;0.531823597563484;0.0487521892570582;0.60095;1.60085;0.159075;0.376225;0.866075
"Deforestation";140;4;0.1818;3.0401;0.720635;0.521397934434319;0.0440661682693825;0.558025;1.5718125;0.1818;0.3976875;0.8673375
"Piste";520;11;0.0404;4.56015;0.896491538461539;0.663192956124039;0.0290829350258262;0.7171;2.12668125;0.0404;0.4444;1.1173125
"Orpaillage_ancien";597;13;0;5.923109575;0.891253079211055;0.7505478751344;0.0307178796266669;0.710334164;2.0059483985;0;0.445526006;1.069694963
"Orpaillage_illegal";358;6;0;6.760911809;1.33335823663128;1.12502607538364;0.0594594756672879;0.922655;3.499120425;0;0.56990575;1.74159162
"Barrage";114;4;0.12625;7.24675;1.31335438596491;1.05138567106313;0.0984712902018029;0.9999;2.84378125;0.12625;0.694375;1.5541375
NA;65;2;0.21715;4.09555;1.07339692307692;0.850264474290432;0.105462328399247;0.77265;2.04525;0.21715;0.606;1.1817
