"station";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Crique_Kapiri_4";"APPROUAGUES";4.08399;-52.13098;"Deforestation";66;5;12;10;16;18;5;0;0;31;6.2;0.31815;3.0401;0.7188919;0.541294;17;0.7779971;0.3888806;0.31815;2.10585;7;0.8649929;0.96217063;0.3737;3.0401
"Crique_Kapiri_5";"APPROUAGUES";4.06904;-52.11499;"Deforestation";229;5;12;10;16;19;6;0;0;48;9.125;0.21715;1.5756;0.6365104;0.3108999;13;0.8507308;0.3508364;0.3333;1.5756;22;0.5123455;0.22214932;0.21715;1.03525
"Crique_kapiri_6";"APPROUAGUES";4.15347;-52.16586;"Deforestation";119;4;12;10;20;22;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_kapiri_7";"APPROUAGUES";4.09117;-52.09195;"Deforestation";64;4;9;6;13;14;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Korossibo";"MANA";5.16997;-53.66222;"Orpaillage_ancien";439;4;12;11;23;29;5;99;0;26;3.95;0.1717;1.0201;0.4737288;0.2711658;10;0.63428;0.2822604;0.2929;1.0201;11;0.2584682;0.09002093;0.1717;0.4545
"Crique_Laboue_1";"APPROUAGUES";4.15872;-52.47205;NA;10;4;7;4;7;7;4;6;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Laboue_2";"APPROUAGUES";4.15872;-52.47205;NA;59;4;11;8;15;17;5;41;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Lucifer";"SINNAMARY";4.78216;-53.11461;"Barrage";78;4;11;9;18;18;6;0;0;29;8.2;0.52015;6.3327;1.3438224;1.0818745;15;1.04737;0.4619293;0.52015;2.17655;6;1.8903833;2.2029456;0.56055;6.3327
"Crique_Macouria";"MACOURIA";4.95834;-52.59666;"Reference";482;5;14;12;22;30;8;0;0;57;2.44;0.45955;1.9392;0.9422237;0.388224;15;0.8083367;0.2196975;0.505;1.1918;16;0.9172063;0.3988152;0.53025;1.89375
"Crique_Maman_Lezard";"SINNAMARY";5.08492;-53.01412;NA;43;4;8;8;11;11;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Marie";"OYAPOCK";3.87064;-51.85653;"Piste";276;5;11;13;26;30;7;0;0;82;3.145;0.1616;2.6462;0.6892018;0.6269604;24;0.426725;0.2929189;0.1818;1.28775;29;0.9272845;0.834226;0.1616;2.6462
"Crique_Minette";"OYAPOCK";3.82033;-51.875;"Piste";195;5;13;15;21;24;8;62;0;52;7.87;0.0404;0.82315;0.3723889;0.1716355;18;0.3460653;0.1837258;0.1515;0.82315;28;0.3886696;0.14713195;0.1313;0.81305
"Crique_Montagne";"MANA";4.712;-53.94666;"Reference";81;2;3;4;4;4;3;17;0;10;0.95;0.2323;0.71205;0.441875;0.171109;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouraguette";"APPROUAGUES";4.035804;-52.65511;NA;251;5;9;11;17;21;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouvelle_France";"MARONI";NA;NA;NA;49;3;12;13;22;22;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouvelle_France_1";"MARONI";3.56573;-53.1975;"Orpaillage_ancien";502;5;16;17;32;44;9;193;33;93;NA;0;3.099135;0.5352194;0.4046182;19;0.4739806;0.3967388;0.1440323;1.9259208;52;0.5182392;0.24986491;0.2031922;1.11094
"Crique_Nouvelle_France_2";"MARONI";3.57697;-53.19268;"Orpaillage_ancien";283;3;16;18;37;49;9;100;54;79;10.1;0;5.92311;0.901127;0.8911853;18;0.6605804;0.3803093;0.2372632;1.5902444;34;0.7769616;0.45253371;0.2860347;2.338672
"Crique_Nouvelle_France_3";"MARONI";3.59726;-53.17847;"Orpaillage_ancien";332;4;15;16;33;41;7;0;18;29;8.3;0.2777855;2.025836;0.9258473;0.557946;7;0.5923657;0.1755033;0.4304131;0.8490402;14;0.9230472;0.59144936;0.3584302;2.025836
"Crique_Nouvelle_France_4";"MARONI";3.61284;-53.16884;"Orpaillage_illegal";212;5;14;16;24;27;7;84;30;48;7.1;0;6.760912;2.0157719;1.6267316;21;1.7639678;1.3534638;0;4.5460057;20;1.6848221;0.96563129;0.4392267;3.717758
"Crique_Nouvelle_France_5";"MARONI";3.62707;-53.16692;"Orpaillage_illegal";139;5;13;13;27;30;7;64;24;39;10.8;0;4.293472;1.4668879;1.0081883;16;1.8758933;1.0711967;0.3903189;4.293472;17;0.8890157;0.55927758;0;2.274799
"Crique_Nouvelle_France_6";"MARONI";3.62707;-53.16569;"Orpaillage_ancien";260;4;7;6;11;16;5;29;0;21;NA;0;2.487915;0.6684257;0.5652504;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Orapu";"COMTE";4.28392;-52.49397;"Orpaillage_ancien";179;4;9;11;19;23;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Organabo";"ORGANABO";5.46971;-53.534;"Piste";157;5;9;7;12;15;4;0;0;29;1.44;0.5151;3.06535;1.0658983;0.5641746;10;1.08474;0.7700392;0.58075;3.06535;11;1.0917182;0.54562355;0.5959;2.27755
"Crique_Paira";"APPROUAGUES";4.115;-52.05517;"Reference";123;5;9;10;17;19;4;38;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Palmeraie";"APPROUAGUES";3.99509;-52.569;NA;154;5;11;10;18;20;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Paracou";"CRIQUE_COTIERE";5.28692;-52.90708;"Reference";994;5;17;15;29;38;8;89;0;53;4.47;0.2222;3.8784;0.990467;0.7972956;19;0.8515895;0.4452034;0.2323;2.01495;14;0.7856357;0.20777085;0.46965;1.20695
"Crique_Parar";"APPROUAGUES";4.036166;-52.56908;NA;236;5;14;13;25;33;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Parare";"APPROUAGUES";4.03906;-52.67694;NA;70;6;11;11;14;16;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_1";"APPROUAGUES";4.039033;-52.67677;NA;106;6;13;15;23;26;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_2";"APPROUAGUES";4.038644;-52.67693;NA;88;6;15;15;22;27;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_3";"APPROUAGUES";4.038155;-52.67751;NA;197;6;17;18;27;34;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_4";"APPROUAGUES";4.044219;-52.6878;NA;124;5;10;11;16;18;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_5";"APPROUAGUES";4.044229;-52.68754;NA;71;5;10;11;15;16;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_6";"APPROUAGUES";4.044491;-52.68752;NA;83;6;12;11;17;19;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_7";"APPROUAGUES";4.048615;-52.69155;NA;212;5;8;11;13;13;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_8";"APPROUAGUES";4.04866;-52.6917;NA;171;5;8;8;9;9;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_9";"APPROUAGUES";4.048179;-52.69244;NA;180;5;6;8;11;11;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Penta";"MARONI";NA;NA;NA;154;5;16;14;28;33;8;0;0;62;2.32;0.21715;4.09555;1.0828177;0.8686633;27;1.3397463;1.1177272;0.39895;4.09555;16;0.8383;0.51822285;0.21715;1.68165
"Crique_Petit";"COUNAMAMA";5.33654;-53.10353;"Reference";648;6;20;16;34;43;7;111;0;92;2.645;0.31815;2.2927;0.9940815;0.3872166;33;1.0260682;0.4378864;0.49995;2.2927;28;0.9221661;0.30942927;0.404;1.78265
"Crique_Petit_Approuague";"COMTE";4.36481;-52.32803;"Orpaillage_ancien";166;5;14;16;32;42;8;94;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Petit_Laussat_Amont_(3)";"MANA";5.37996;-53.55004;"Piste";77;4;10;8;17;18;5;0;0;46;9.93;0.34845;3.10575;0.9779435;0.5403602;24;1.0695479;0.4774273;0.4141;2.1816;13;0.7132154;0.36440077;0.34845;1.5251
"Crique_Petit_laussat_Aval_(1)";"MANA";5.40887;-53.58121;"Piste";115;5;12;12;18;18;6;0;0;34;5.195;0.4848;3.49965;1.2630941;0.6939794;22;1.2409227;0.770624;0.5151;3.49965;7;1.60085;0.54725164;0.4848;2.2927
"Crique_Petit_Tamouri_1";"OYAPOCK";3.001741;-53.10938;NA;60;2;3;3;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
